benchmark_set	population	reference_method	comparator_method	metric	higher_is_better	n_complexes	n_paired_contributing	estimate_reference_minus_comparator	ci95_reference_minus_comparator_low	ci95_reference_minus_comparator_high	estimate_favorable_to_reference	ci95_favorable_low	ci95_favorable_high	bootstrap_draws_requested	bootstrap_draws_defined	bootstrap_seed
Ruiz52	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	mrr_first_lt2	True	52	52	0.11928153399307247	0.005553198670987134	0.23011143023643016	0.11928153399307247	0.005553198670987134	0.23011143023643016	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	ndcg_at_10	True	52	52	0.13057576164070897	0.06101937629848601	0.20047483099678967	0.13057576164070897	0.06101937629848601	0.20047483099678967	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	mean_regret_A_scored	False	52	51	-0.7527057149900338	-1.4405992283549431	-0.0722331968863524	0.7527057149900338	0.07223319688635199	1.4405992283549431	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	complex_failure_rate	False	52	52	-0.019230769230769232	-0.057692307692307696	0.0	0.019230769230769232	-0.0	0.057692307692307696	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	pose_score_failure_rate	False	52	52	-0.021153846153846155	-0.06105769230769231	0.0	0.021153846153846155	-0.0	0.06105769230769231	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top1_success_rate	True	52	52	0.09615384615384616	-0.038461538461538464	0.23076923076923078	0.09615384615384616	-0.038461538461538464	0.23076923076923078	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top3_success_rate	True	52	52	0.038461538461538464	-0.057692307692307696	0.1346153846153846	0.038461538461538464	-0.057692307692307696	0.1346153846153846	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top5_success_rate	True	52	52	0.0	-0.07692307692307693	0.07692307692307693	0.0	-0.07692307692307693	0.07692307692307693	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	mrr_first_lt2	True	52	52	0.060825268036806504	-0.027262144016951713	0.14989357864357866	0.060825268036806504	-0.027262144016951713	0.14989357864357866	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	ndcg_at_10	True	52	52	0.1111021107992698	0.043516265731387394	0.1779075494257422	0.1111021107992698	0.043516265731387394	0.1779075494257422	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	mean_regret_A_scored	False	52	50	-0.551232258457455	-1.2895475202293245	0.14978729416527306	0.551232258457455	-0.14978729416527325	1.2895475202293245	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	complex_failure_rate	False	52	52	-0.038461538461538464	-0.09615384615384616	0.0	0.038461538461538464	-0.0	0.09615384615384616	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	pose_score_failure_rate	False	52	52	-0.038461538461538464	-0.09615384615384616	0.0	0.038461538461538464	-0.0	0.09615384615384616	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	rDock-26.05-alpha	top1_success_rate	True	52	52	0.19230769230769232	0.038461538461538464	0.34615384615384615	0.19230769230769232	0.038461538461538464	0.34615384615384615	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	rDock-26.05-alpha	top3_success_rate	True	52	52	0.17307692307692307	0.057692307692307696	0.28846153846153844	0.17307692307692307	0.057692307692307696	0.28846153846153844	10000	10000	20261106
