subset	complexes	fraction_pct	method	replicate_type	replicate	pose_density_lt2_pct	coverage_k10_lt2_pct	median_best_rmsd_A	valid_fraction_pct	all_failed_complexes
Chen52	52		Vina	docking_repeat	1	6.346153846153846	34.61538461538461	3.34800946	82.6923076923077	9
Chen52	52		Vina	docking_repeat	2	6.730769230769231	34.61538461538461	3.30579273	82.6923076923077	9
Chen52	52		Vina	docking_repeat	3	6.538461538461539	38.46153846153847	3.26327739	84.61538461538461	8
Chen52	52		rDock	docking_repeat	1	21.346153846153847	40.38461538461539	2.791674405	100.0	0
Chen52	52		rDock	docking_repeat	2	21.53846153846154	36.53846153846153	2.85245403	100.0	0
Chen52	52		rDock	docking_repeat	3	20.0	30.76923076923077	2.90107578	100.0	0
Chen52	52		LeDock	docking_repeat	1	26.923076923076923	42.30769230769231	2.161540705	95.96153846153847	0
Chen52	52		LeDock	docking_repeat	2	27.884615384615387	46.15384615384615	2.115953225	96.15384615384616	0
Chen52	52		LeDock	docking_repeat	3	20.76923076923077	36.53846153846153	2.4378530549999997	96.73076923076923	0
Chen52	52		PLANTS	docking_repeat	1	9.230769230769232	38.46153846153847	3.451067455	94.23076923076923	3
Chen52	52		PLANTS	docking_repeat	2	9.230769230769232	42.30769230769231	2.9616938599999996	94.23076923076923	3
Chen52	52		PLANTS	docking_repeat	3	9.230769230769232	38.46153846153847	3.215296495	94.23076923076923	3
Chen52	52		AutoDock-GPU	docking_repeat	1	13.076923076923078	38.46153846153847	3.09229367	98.07692307692307	1
Chen52	52		AutoDock-GPU	docking_repeat	2	13.653846153846153	32.69230769230769	2.9038516850000002	98.07692307692307	1
Chen52	52		AutoDock-GPU	docking_repeat	3	13.076923076923078	32.69230769230769	3.45119152	98.07692307692307	1
Philips39	39	10	Transfer-All	training_seed	0	13.846153846153847	46.15384615384615	2.2201555881252717	100.0	0
Philips39	39	10	Transfer-All	training_seed	1	13.333333333333334	46.15384615384615	2.2645145189559948	100.0	0
Philips39	39	10	Transfer-All	training_seed	2	12.82051282051282	43.58974358974359	2.2853006491699888	100.0	0
Philips39	39	10	Transfer-NonSurface	training_seed	0	3.076923076923077	17.94871794871795	3.3846248317452656	100.0	0
Philips39	39	10	Transfer-NonSurface	training_seed	1	2.307692307692308	10.256410256410255	3.512641033625712	100.0	0
Philips39	39	10	Transfer-NonSurface	training_seed	2	3.3333333333333335	20.51282051282051	3.3220911130229114	100.0	0
Philips39	39	25	Transfer-All	training_seed	0	13.076923076923078	46.15384615384615	2.276139771437081	100.0	0
Philips39	39	25	Transfer-All	training_seed	1	15.384615384615385	41.02564102564102	2.294829342851555	100.0	0
Philips39	39	25	Transfer-All	training_seed	2	14.358974358974358	48.717948717948715	2.274388193454189	100.0	0
Philips39	39	25	Transfer-NonSurface	training_seed	0	5.384615384615385	23.076923076923077	2.760649589576441	100.0	0
Philips39	39	25	Transfer-NonSurface	training_seed	1	6.153846153846154	23.076923076923077	2.7442550663804632	100.0	0
Philips39	39	25	Transfer-NonSurface	training_seed	2	5.897435897435897	28.205128205128204	2.6001659709388885	100.0	0
Philips39	39	50	Transfer-All	training_seed	0	15.64102564102564	53.84615384615385	1.9246798602300073	100.0	0
Philips39	39	50	Transfer-All	training_seed	1	16.923076923076923	48.717948717948715	2.091812148966178	100.0	0
Philips39	39	50	Transfer-All	training_seed	2	16.923076923076923	53.84615384615385	1.9171839522968173	100.0	0
Philips39	39	50	Transfer-NonSurface	training_seed	0	10.256410256410255	35.8974358974359	2.4195082255147087	100.0	0
Philips39	39	50	Transfer-NonSurface	training_seed	1	8.717948717948717	35.8974358974359	2.301019554930795	100.0	0
Philips39	39	50	Transfer-NonSurface	training_seed	2	8.974358974358974	35.8974358974359	2.403673260865545	100.0	0
Philips39	39	100	Transfer-All	training_seed	0	16.41025641025641	53.84615384615385	1.862841620763188	100.0	0
Philips39	39	100	Transfer-All	training_seed	1	17.435897435897434	53.84615384615385	1.8861586480766368	100.0	0
Philips39	39	100	Transfer-All	training_seed	2	16.666666666666664	56.41025641025641	1.8825945243532927	100.0	0
Philips39	39	100	Transfer-NonSurface	training_seed	0	11.794871794871794	41.02564102564102	2.1702118307368683	100.0	0
Philips39	39	100	Transfer-NonSurface	training_seed	1	12.564102564102564	43.58974358974359	2.399693690218608	100.0	0
Philips39	39	100	Transfer-NonSurface	training_seed	2	12.564102564102564	43.58974358974359	2.2608907350354706	100.0	0
Philips39	39		Vina	docking_repeat	1	3.3333333333333335	15.384615384615385	4.11941114	74.35897435897436	10
