subset	fraction_pct	left	right	metric	difference_left_minus_right	ci95_low	ci95_high	unit	bootstrap_draws	resampling	ci_status	finite_bootstrap_draws
All128	50	Transfer-All	LeDock	median_best_rmsd_A	-0.36791347779420724	-0.6596332135420747	0.004846663617449567	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	LeDock	valid_fraction_pct	6.276041666666671	3.0208333333333286	10.0	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	PLANTS	pose_density_lt2_pct	10.546875	7.213541666666668	14.036458333333332	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	PLANTS	coverage_k10_lt2_pct	16.92708333333333	8.59375	25.52083333333333	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	PLANTS	median_best_rmsd_A	-1.6343886444608737	-2.1638998956681825	-0.8708876014173911	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	PLANTS	valid_fraction_pct	10.15625	5.46875	15.625	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	AutoDock-GPU	pose_density_lt2_pct	6.562499999999998	2.785807291666666	10.46875	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	AutoDock-GPU	coverage_k10_lt2_pct	20.05208333333333	11.979166666666664	28.125	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	AutoDock-GPU	median_best_rmsd_A	-1.091475712794207	-1.584067755408292	-0.6808412332805144	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	AutoDock-GPU	valid_fraction_pct	4.6875	1.5625	8.59375	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	Vina	pose_density_lt2_pct	4.531249999999999	2.005208333333334	7.083333333333334	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	Vina	coverage_k10_lt2_pct	6.770833333333336	-1.5625	15.104166666666664	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	Vina	median_best_rmsd_A	-1.000371601770527	-1.67723205358052	-0.166247062461836	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	Vina	valid_fraction_pct	17.1875	10.9375	23.69791666666667	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
