benchmark_set	population	metric	top_n	n_complexes	total_pose_slots	near_native_pose_count	mean_near_native_poses_per_complex	rankable_complex_count	permutations	permutation_seed	estimate	estimate_pct	mean_success_count	randomization_p025	randomization_p975	analytic_expectation	mc_minus_analytic
Chen52	full	ndcg_at_10		52	2080	390	7.5	38	10000	20260906	0.46303492769292653			0.42991346958517224	0.49721681257256395	0.46334751081955994	-0.0003125831266334034
Chen52	rankable_lt2	topn_success_rate	1	38	1520	390	10.263157894736842	38	10000	20260906	0.2555394736842105	25.55394736842105	9.710499999999998	0.13157894736842105	0.39473684210526316	0.2565789473684211	-0.00103947368421059
Chen52	rankable_lt2	topn_success_rate	2	38	1520	390	10.263157894736842	38	10000	20260906	0.41682631578947366	41.682631578947365	15.8394	0.2894736842105263	0.5526315789473685	0.41724021592442645	-0.00041390013495279376
Chen52	rankable_lt2	topn_success_rate	3	38	1520	390	10.263157894736842	38	10000	20260906	0.5273263157894736	52.73263157894736	20.0384	0.39473684210526316	0.6578947368421053	0.5267499467291712	0.0005763690603024507
Chen52	rankable_lt2	topn_success_rate	4	38	1520	390	10.263157894736842	38	10000	20260906	0.6063315789473684	60.63315789473685	23.0406	0.47368421052631576	0.7368421052631579	0.6059015439901866	0.00043003495718185736
Chen52	rankable_lt2	topn_success_rate	5	38	1520	390	10.263157894736842	38	10000	20260906	0.6657736842105263	66.57736842105263	25.2994	0.5526315789473685	0.7894736842105263	0.6655637765402309	0.00020990767029538393
Chen52	rankable_lt2	topn_success_rate	6	38	1520	390	10.263157894736842	38	10000	20260906	0.7126342105263157	71.26342105263157	27.080099999999998	0.6052631578947368	0.8157894736842105	0.7119972419833915	0.0006369685429241656
Chen52	rankable_lt2	topn_success_rate	7	38	1520	390	10.263157894736842	38	10000	20260906	0.7494368421052632	74.94368421052631	28.4786	0.631578947368421	0.868421052631579	0.7490705821262281	0.00036625997903505514
Chen52	rankable_lt2	topn_success_rate	8	38	1520	390	10.263157894736842	38	10000	20260906	0.7797	77.97	29.6286	0.6842105263157895	0.8947368421052632	0.7792967421124501	0.00040325788754980163
Chen52	rankable_lt2	topn_success_rate	9	38	1520	390	10.263157894736842	38	10000	20260906	0.8044131578947369	80.44131578947369	30.567700000000002	0.7105263157894737	0.8947368421052632	0.8043714272011894	4.17306935475148e-05
Chen52	rankable_lt2	topn_success_rate	10	38	1520	390	10.263157894736842	38	10000	20260906	0.8255894736842105	82.55894736842106	31.3724	0.7368421052631579	0.9210526315789473	0.8254761648676862	0.0001133088165243823
Chen52	rankable_lt2	mrr_first_lt2		38	1520	390	10.263157894736842	38	10000	20260906	0.43644650381887157			0.34548967941984327	0.5341779586100058	0.43692861855224513	-0.00048211473337356203
Chen52	rankable_lt2	ndcg_at_10		38	1520	390	10.263157894736842	38	10000	20260906	0.46374669135141494			0.4265796657783038	0.5016477411903546	0.46406296226496285	-0.00031627091354791137
Philips39	full	topn_success_rate	1	39	1560	263	6.743589743589744	23	10000	20260906	0.16731538461538462	16.731538461538463	6.5253	0.07692307692307693	0.2564102564102564	0.1685897435897436	-0.0012743589743589856
Philips39	full	topn_success_rate	2	39	1560	263	6.743589743589744	23	10000	20260906	0.2574358974358974	25.74358974358974	10.04	0.1794871794871795	0.358974358974359	0.25775805391190004	-0.0003221564760026441
Philips39	full	topn_success_rate	3	39	1560	263	6.743589743589744	23	10000	20260906	0.3150948717948718	31.509487179487177	12.288699999999999	0.23076923076923078	0.41025641025641024	0.31502647150420426	6.840029066751407e-05
Philips39	full	topn_success_rate	4	39	1560	263	6.743589743589744	23	10000	20260906	0.3573025641025641	35.73025641025641	13.934800000000001	0.2564102564102564	0.46153846153846156	0.3570892287491478	0.00021333535341633292
