benchmark_set	population	method	n_complexes	poses_per_complex	n_pose_slots	top1_success_count	top1_success_pct	top1_ci95_low_pct	top1_ci95_high_pct	top3_success_count	top3_success_pct	top3_ci95_low_pct	top3_ci95_high_pct	top5_success_count	top5_success_pct	top5_ci95_low_pct	top5_ci95_high_pct	mrr	mrr_ci95_low	mrr_ci95_high	mrr_n_contributing	ndcg_at_10	ndcg_at_10_ci95_low	ndcg_at_10_ci95_high	ndcg_at_10_n_contributing	mean_regret_A_scored	mean_regret_A_scored_ci95_low	mean_regret_A_scored_ci95_high	mean_regret_A_scored_n_contributing	complex_failure_count	complex_failure_pct	complex_failure_ci95_low_pct	complex_failure_ci95_high_pct	pose_score_failure_count	pose_score_valid_count	pose_score_failure_pct	pose_score_failure_ci95_low_pct	pose_score_failure_ci95_high_pct	ci_method
Chen52	rankable_lt2	rDock-26.05-alpha	38	40	1520	16	42.10526315789473	26.31578947368421	57.89473684210527	23	60.526315789473685	44.73684210526316	76.31578947368422	27	71.05263157894737	55.26315789473685	84.21052631578947	0.5629215604370403	0.43917138229560826	0.6873189448293937	38	0.62515365785785	0.5366706145921104	0.7102852847244628	38	2.25131053092162	1.4844547285232699	3.0596505128646796	38	0	0.0	0.0	0.0	0	1520	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Chen52	rankable_lt2	PLANTS-CHEMPLP-1.2	38	40	1520	18	47.368421052631575	31.57894736842105	63.1578947368421	25	65.78947368421053	50.0	81.57894736842105	29	76.31578947368422	63.1578947368421	89.47368421052632	0.5927213868003341	0.4621305868838764	0.7197746971595654	38	0.5983091538350216	0.5060087798080815	0.687173600936738	38	1.5346683454031782	0.9090469371812726	2.256301984808124	35	3	7.894736842105263	0.0	15.789473684210526	120	1400	7.894736842105263	0.0	15.789473684210526	accepted_shared_complex_bootstrap_percentile_10000
Philips39	full	SurfNA-scorer0	39	40	1560	17	43.58974358974359	28.205128205128204	58.97435897435898	20	51.28205128205128	35.8974358974359	66.66666666666666	20	51.28205128205128	35.8974358974359	66.66666666666666	0.4825584671738518	0.33383136094674554	0.6338405184559031	39	0.6932714402167203	0.606093832144931	0.7741623249516554	39	1.218085447707154	0.7131095866896745	1.784341601838824	39	0	0.0	0.0	0.0	0	1560	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Philips39	full	AutoDock-Vina-1.2.7	39	40	1560	12	30.76923076923077	17.94871794871795	46.15384615384615	18	46.15384615384615	30.76923076923077	61.53846153846154	19	48.717948717948715	33.33333333333333	64.1025641025641	0.3880647130647131	0.2553365384615385	0.5264957264957264	39	0.5980933982248031	0.5028156963735881	0.6877612533804363	39	2.306506001313445	1.55442857454133	3.107414807367751	38	1	2.564102564102564	0.0	7.6923076923076925	40	1520	2.564102564102564	0.0	7.6923076923076925	accepted_shared_complex_bootstrap_percentile_10000
Philips39	full	rDock-26.05-alpha	39	40	1560	9	23.076923076923077	10.256410256410255	35.8974358974359	15	38.46153846153847	23.076923076923077	53.84615384615385	17	43.58974358974359	28.205128205128204	58.97435897435898	0.33015669515669516	0.20627777777777773	0.4593180199430199	39	0.5435362903711394	0.4348663552063899	0.6485329530208568	39	1.8844452985163578	1.2638129613494322	2.5812445283008523	35	4	10.256410256410255	2.564102564102564	20.51282051282051	160	1400	10.256410256410255	2.564102564102564	20.51282051282051	accepted_shared_complex_bootstrap_percentile_10000
Philips39	full	PLANTS-CHEMPLP-1.2	39	40	1560	12	30.76923076923077	15.384615384615385	46.15384615384615	20	51.28205128205128	35.8974358974359	66.66666666666666	21	53.84615384615385	38.46153846153847	69.23076923076923	0.4081196581196581	0.27350427350427353	0.5448717948717948	39	0.5331741686179555	0.4263321604631831	0.6360258896502131	39	2.22427988984255	1.3864822145811004	3.1433857554282527	33	6	15.384615384615385	5.128205128205128	28.205128205128204	240	1320	15.384615384615385	5.128205128205128	28.205128205128204	accepted_shared_complex_bootstrap_percentile_10000
Philips39	rankable_lt2	SurfNA-scorer0	23	40	920	17	73.91304347826086	56.52173913043478	91.30434782608695	20	86.95652173913044	73.91304347826086	100.0	20	86.95652173913044	73.91304347826086	100.0	0.8182513139034878	0.6781175346392737	0.9391304347826087	23	0.7915374897409336	0.7160821781453276	0.8592744897694596	23	0.6099725725101838	0.24511976208304082	1.1052363471198468	23	0	0.0	0.0	0.0	0	920	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Philips39	rankable_lt2	AutoDock-Vina-1.2.7	23	40	920	12	52.17391304347826	30.434782608695656	73.91304347826086	18	78.26086956521739	60.86956521739131	91.30434782608695	19	82.6086956521739	65.21739130434783	95.65217391304348	0.6580227743271222	0.5018633540372671	0.8072463768115942	23	0.6267087101498531	0.5121013654056781	0.731365479029894	23	1.8319070533813155	0.9744793084482062	2.809938193310944	22	1	4.3478260869565215	0.0	13.043478260869565	40	880	4.3478260869565215	0.0	13.043478260869565	accepted_shared_complex_bootstrap_percentile_10000
Philips39	rankable_lt2	rDock-26.05-alpha	23	40	920	9	39.130434782608695	21.73913043478261	60.86956521739131	15	65.21739130434783	43.47826086956522	82.6086956521739	17	73.91304347826086	56.52173913043478	91.30434782608695	0.5598309178743961	0.4064728260869564	0.7149788647342994	23	0.6289914704358048	0.5067022910210104	0.7400465428144541	23	1.4630962937041638	0.878389437274229	2.1147640647689716	22	1	4.3478260869565215	0.0	13.043478260869565	40	880	4.3478260869565215	0.0	13.043478260869565	accepted_shared_complex_bootstrap_percentile_10000
Philips39	rankable_lt2	PLANTS-CHEMPLP-1.2	23	40	920	12	52.17391304347826	30.434782608695656	73.91304347826086	20	86.95652173913044	73.91304347826086	100.0	21	91.30434782608695	78.26086956521739	100.0	0.6920289855072463	0.5471014492753623	0.8260869565217391	23	0.6729804560917859	0.5645368523227269	0.7725447416988966	23	1.8364413102134682	0.9208339410304407	2.893778188080493	22	1	4.3478260869565215	0.0	13.043478260869565	40	880	4.3478260869565215	0.0	13.043478260869565	accepted_shared_complex_bootstrap_percentile_10000
